[DSK:vdb]Reads,[DSK:vdb]RMerge,[DSK:vdb]RKBytes,[DSK:vdb]WaitR,[DSK:vdb]Writes,[DSK:vdb]WMerge,[DSK:vdb]WKBytes,[DSK:vdb]WaitW,[DSK:vdb]Request,[DSK:vdb]QueLen,[DSK:vdb]Wait,[DSK:vdb]SvcTim,[DSK:vdb]Util
1,0,4,1,0,0,0,0,4,1,1,1,0
1,0,4,1,0,0,0,0,4,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,0,3,9,52,3,14,1,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,25665,18,0,0,0,0,431,12,18,2,11
352,2,156296,30,0,0,0,0,444,11,30,3,98
341,2,151988,31,3,6,56,29,442,10,31,3,98
186,1,81761,29,0,0,0,0,440,9,29,3,58
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,0,3,9,52,4,14,2,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,8,0,0,0,0,0,4,1,0,0,0
0,0,0,0,2,2,16,7,8,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,1,0,0,0,0,4,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,0,1,0,8,0,6,0,0,0,0
1,0,4,0,2,7,36,8,13,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,0,4,0,51,1,11,4,1,0,0
0,0,0,0,3,13,65,4,21,2,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,8,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19,2,89,2,5,19,2,0,0
0,0,0,0,3,5,32,3,11,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,2,16,6,8,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,32,0,32,0,0,0,0
0,0,0,0,2,7,35,6,18,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,36,0,18,0,0,0,0
0,0,0,0,2,8,40,5,20,1,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,20,0,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,7,35,5,18,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,16,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,9,43,5,22,1,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,0,28,0,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,13,64,3,21,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,18,8,103,2,6,18,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,4,28,4,9,2,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,39,0,13,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,12,57,5,28,1,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,8,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,13,60,6,30,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,32,0,11,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,9,44,6,22,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,24,0,24,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,5,28,6,14,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,8,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,7,36,6,18,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,32,1,16,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,8,40,6,20,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,25,4,121,1,5,16,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,8,44,4,15,2,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,1,12,8,6,1,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,28,0,9,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,9,44,5,22,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,8,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,4,24,6,12,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,8,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,5,28,4,14,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,0,36,0,9,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,12,55,5,28,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,32,0,16,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,7,36,5,18,1,5,0,0
0,0,0,0,16,4,81,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
