[DSK:vdb]Reads,[DSK:vdb]RMerge,[DSK:vdb]RKBytes,[DSK:vdb]WaitR,[DSK:vdb]Writes,[DSK:vdb]WMerge,[DSK:vdb]WKBytes,[DSK:vdb]WaitW,[DSK:vdb]Request,[DSK:vdb]QueLen,[DSK:vdb]Wait,[DSK:vdb]SvcTim,[DSK:vdb]Util
6,0,24,0,1,0,4,0,4,1,0,0,0
1,0,4,1,2,11,51,6,19,1,4,1,0
2,0,8,0,0,0,0,0,4,0,0,0,0
3,0,12,0,2,0,20,0,6,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
337,3,148190,26,0,0,0,0,440,10,26,3,92
335,2,149834,33,2,9,43,81,445,11,33,3,98
262,1,116012,34,2,0,32,4,439,10,34,3,87
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,9,44,6,22,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,25,11,145,2,6,23,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,8,0,5,9,92,2,14,2,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,12,0,0,0,0,0,4,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,1,0,0,0,0,4,1,1,1,0
0,0,0,0,3,8,44,3,15,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,1,3,0,32,0,9,1,0,0,0
1,0,4,1,2,9,44,4,16,1,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,3,20,6,10,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,8,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,7,36,5,18,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,32,1,16,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,9,44,5,22,1,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20,5,100,1,5,15,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,2,16,5,8,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,1,6,0,68,0,10,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,15,69,5,34,1,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,8,1,4,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,4,28,3,9,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,16,0,8,0,0,0,0
